

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
269.845  001.324  001.324: sourcing /Users/cicloid/.vim/plugged/camelcasemotion/plugin/camelcasemotion.vim
270.695  000.709  000.709: sourcing /Users/cicloid/.vim/plugged/matchit.zip/plugin/matchit.vim
271.150  000.313  000.313: sourcing /Users/cicloid/.vim/plugged/sudo.vim/plugin/sudo.vim
271.412  000.102  000.102: sourcing /Users/cicloid/.vim/plugged/vim-html-escape/plugin/htmlescape.vim
272.818  000.236  000.236: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale.vim
274.416  000.175  000.175: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/toggle.vim
274.899  003.334  002.923: sourcing /Users/cicloid/.vim/plugged/ale/plugin/ale.vim
275.573  000.086  000.086: sourcing /usr/local/share/vim/vim80/plugin/getscriptPlugin.vim
275.842  000.231  000.231: sourcing /usr/local/share/vim/vim80/plugin/gzip.vim
276.139  000.259  000.259: sourcing /usr/local/share/vim/vim80/plugin/logiPat.vim
276.229  000.051  000.051: sourcing /usr/local/share/vim/vim80/plugin/manpager.vim
276.463  000.198  000.198: sourcing /usr/local/share/vim/vim80/plugin/matchparen.vim
277.192  000.690  000.690: sourcing /usr/local/share/vim/vim80/plugin/netrwPlugin.vim
277.274  000.031  000.031: sourcing /usr/local/share/vim/vim80/plugin/rrhelper.vim
277.364  000.044  000.044: sourcing /usr/local/share/vim/vim80/plugin/spellfile.vim
277.593  000.185  000.185: sourcing /usr/local/share/vim/vim80/plugin/tarPlugin.vim
277.749  000.110  000.110: sourcing /usr/local/share/vim/vim80/plugin/tohtml.vim
278.020  000.227  000.227: sourcing /usr/local/share/vim/vim80/plugin/vimballPlugin.vim
278.296  000.221  000.221: sourcing /usr/local/share/vim/vim80/plugin/zipPlugin.vim
278.326  021.763: loading plugins
278.408  000.082: loading packages
279.986  000.397  000.397: sourcing /Users/cicloid/.vim/plugged/tabular/autoload/tabular.vim
281.834  003.193  002.796: sourcing /Users/cicloid/.vim/plugged/tabular/after/plugin/TabularMaps.vim
282.118  000.101  000.101: sourcing /Users/cicloid/.vim/plugged/ale/after/plugin/ale.vim
282.148  000.446: loading after plugins
282.154  000.006: inits 3
282.633  000.479: reading viminfo
282.678  000.045: setting raw mode
282.679  000.001: start termcap
282.774  000.095: clearing screen
287.387  000.703  000.703: sourcing /usr/local/share/vim/vim80/scripts.vim
295.164  000.794  000.794: sourcing /Users/cicloid/.vim/plugged/vim-polyglot/autoload/LaTeXtoUnicode.vim
297.790  001.358  001.358: sourcing /Users/cicloid/.vim/plugged/vim-polyglot/autoload/julia_latex_symbols.vim
305.031  000.302  000.302: sourcing /usr/local/share/vim/vim80/ftplugin/text.vim
308.193  000.617  000.617: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions.vim
308.599  000.172  000.172: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
309.147  000.370  000.370: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline.vim
309.577  000.147  000.147: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/netrw.vim
309.942  000.129  000.129: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/term.vim
310.402  000.216  000.216: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/ctrlp.vim
310.926  000.238  000.238: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/hunks.vim
311.760  000.539  000.539: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/branch.vim
312.336  000.217  000.217: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/ale.vim
